seed	verdict	end_min	js_errors	clr_launches	clr_held
1	won	41.7	0	0	0
2	won	39.0	0	1	0
3	won	38.0	0	0	0
4	won	32.6	0	0	0
5	won	30.9	0	0	0
6	won	41.3	0	0	0
7	won	33.6	0	0	0
8	won	33.8	0	1	0
9	won	29.5	0	0	0
10	won	31.4	0	0	0
11	won	39.9	0	0	0
12	won	36.0	0	1	0
13	timeout	45.0	0	1	0
14	won	29.1	0	0	0
15	won	29.9	0	1	0
16	won	31.4	0	0	0
17	won	33.2	0	0	0
18	won	39.6	0	2	0
19	won	44.3	0	3	1
20	won	41.1	0	0	0
21	won	32.8	0	1	0
22	won	31.0	0	1	0
23	won	43.7	0	0	0
24	timeout	45.0	0	0	0
25	won	33.0	0	0	0
26	won	35.0	0	0	0
27	won	37.8	0	1	1
28	won	33.1	0	0	0
29	won	31.9	0	0	0
30	won	44.3	0	1	0
31	won	29.0	0	0	0
32	won	32.0	0	0	0
33	won	39.8	0	0	0
34	won	35.1	0	0	0
35	won	39.8	0	1	1
36	won	38.1	0	1	0
37	won	36.5	0	0	0
38	won	28.1	0	0	0
39	won	34.5	0	0	0
40	won	40.8	0	0	0
41	won	38.4	0	0	0
42	won	31.1	0	0	0
43	won	23.1	0	0	0
44	won	31.6	0	0	0
45	won	40.3	0	0	0
46	won	33.5	0	0	0
47	timeout	45.0	0	1	1
48	won	35.1	0	0	0
49	won	40.9	0	0	0
50	won	29.8	0	0	0
51	won	40.0	0	0	0
52	timeout	45.0	0	0	0
53	won	30.8	0	0	0
54	won	34.4	0	1	0
55	timeout	45.0	0	1	0
56	won	37.4	0	0	0
57	won	32.2	0	0	0
58	won	28.0	0	0	0
59	won	35.0	0	0	0
60	won	36.0	0	0	0
61	won	33.2	0	0	0
62	won	44.1	0	0	0
63	won	28.1	0	0	0
64	won	40.5	0	0	0
65	won	39.7	0	0	0
66	won	34.6	0	1	0
67	won	28.4	0	0	0
68	won	33.0	0	1	0
69	won	38.9	0	0	0
70	defeated	42.3	0	0	0
71	won	32.2	0	0	0
72	won	38.2	0	0	0
73	won	34.5	0	1	0
74	timeout	45.0	0	0	0
75	won	24.7	0	0	0
76	won	37.3	0	0	0
77	won	35.0	0	0	0
78	won	32.0	0	1	0
79	won	31.9	0	1	0
80	won	38.2	0	1	0
81	won	25.7	0	0	0
82	won	38.1	0	0	0
83	won	38.3	0	2	1
84	won	28.0	0	0	0
85	won	38.6	0	0	0
86	won	28.2	0	0	0
87	won	38.0	0	0	0
88	timeout	45.0	0	1	0
89	won	35.5	0	1	0
90	won	25.6	0	0	0
91	won	32.9	0	1	0
92	won	33.9	0	0	0
93	won	35.4	0	0	0
94	won	33.9	0	1	0
95	won	27.4	0	0	0
